Record,Action,Time,Policy,Enforcement,User,Log Level,From resource name,To resource name,Host,Application,Attributes,,,,,,,,,,,,,,,,,,,
Department2:Marketing; Business Process2: Marketing Launch; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Attach to Item,10/14/2005,/CE/Department Policy3,Allow/Monitor,abraham.lincoln@qapf.qalab01.nextlabs.com,3,SharePoint://home.bluejungle.com/sites/qa/QA%20Projects/Release%203.1/Test%20Plans%20for%20CE%203.1Release/New%20Features%20Test%20Plans-CE3.1/Sample%20Data%20Reporter%20r3.1.xls,,k3sesp2-b2.qapf.qalab01.nextlabs.com                            10.23.57.189                            ,c:\program files\microsoft office\office11\excel.exe,Name:SharePoint://home.bluejungle.com/sites/qa/QA%20Projects/Release%203.1/Test%20Plans%20for%20CE%203.1Release/New%20Features%20Test%20Plans-CE3.1/Sample%20Data%20Reporter%20r3.1.xls,Title:Requirements document,Resource Signature:http://home.bluejungle.com/sites/qa/QA%20Projects/Release%203.1/Test%20Plans%20for%20CE%203.1Release/New%20Features%20Test%20Plans-CE3.1/Sample%20Data%20Reporter%20r4.0.xls,Created by:qapf\john.tyler,Modified by:qapf\jimmy.carter,Date Created:11-05-2007,Date Modified:04-09-2008,Format:xls,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Department:Marketing,Obligation:Log SharePoint Control,Business Process: Marketing Launch
11,Open,5/14/2006,/CE/Department Policy4,Allow/Monitor,john.adams@qapf.qalab01.nextlabs.com,3,SharePoint://home.bluejungle.com/sites/qa/QA%20Projects/Release%203.1/Test%20Plans%20for%20CE%203.1Release/New%20Features%20Test%20Plans-CE3.1/Sample%20Data%20Reporter%20r3.1.xls,,k3sesp2-b2.qapf.qalab01.nextlabs.com                            10.23.57.189                            ,c:\program files\microsoft office\office11\excel.exe,Name:SharePoint://home.bluejungle.com/sites/qa/QA%20Projects/Release%203.1/Test%20Plans%20for%20CE%203.1Release/New%20Features%20Test%20Plans-CE3.1/Sample%20Data%20Reporter%20r3.1.xls,Title:Requirements document,Resource Signature:http://home.bluejungle.com/sites/qa/QA%20Projects/Release%203.1/Test%20Plans%20for%20CE%203.1Release/New%20Features%20Test%20Plans-CE3.1/Sample%20Data%20Reporter%20r4.0.xls,Created by:qapf\john.tyler,Modified by:qapf\jimmy.carter,Date Created:11-05-2007,Date Modified:04-09-2008,Format:xls,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Department:Marketing,Obligation:Log SharePoint Control,Business Process: Marketing Launch
12,Rename,6/14/2007,/CE/Department Policy4,Allow/Monitor,chester.arthur@qapf.qalab01.nextlabs.com,3,SharePoint://home.bluejungle.com/sites/qa/QA%20Projects/Release%203.1/Test%20Plans%20for%20CE%203.1Release/New%20Features%20Test%20Plans-CE3.1/Sample%20Data%20Reporter%20r3.1.xls,SharePoint://home.bluejungle.com/sites/qa/QA%20Projects/Release%203.1/Test%20Plans%20for%20CE%203.1Release/New%20Features%20Test%20Plans-CE3.1/Sample%20Data%20Reporter%20r4.0.xls,k3sesp2-b2.qapf.qalab01.nextlabs.com                            10.23.57.189                            ,c:\program files\microsoft office\office11\excel.exe,Name:SharePoint://home.bluejungle.com/sites/qa/QA%20Projects/Release%203.1/Test%20Plans%20for%20CE%203.1Release/New%20Features%20Test%20Plans-CE3.1/Sample%20Data%20Reporter%20r3.1.xls,Title:Requirements document,Resource Signature:http://home.bluejungle.com/sites/qa/QA%20Projects/Release%203.1/Test%20Plans%20for%20CE%203.1Release/New%20Features%20Test%20Plans-CE3.1/Sample%20Data%20Reporter%20r4.0.xls,Created by:qapf\john.tyler,Modified by:qapf\jimmy.carter,Date Created:11-05-2007,Date Modified:04-09-2008,Format:xls,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Department:Marketing,Obligation:Log SharePoint Control,Business Process: Marketing Launch
13,Create/Edit,7/14/2008,/CE/Department Policy4,Allow/Monitor,gerald.ford@qapf.qalab01.nextlabs.com,3,SharePoint://home.bluejungle.com/sites/qa/QA%20Projects/Release%203.1/Test%20Plans%20for%20CE%203.1Release/New%20Features%20Test%20Plans-CE3.1/Sample%20Data%20Reporter%20r3.1.xls,SharePoint://home.bluejungle.com/sites/qa/QA%20Projects/Release%203.1/Test%20Plans%20for%20CE%203.1Release/New%20Features%20Test%20Plans-CE3.1/Sample%20Data%20Reporter%20r4.0.xls,k3sesp2-b2.qapf.qalab01.nextlabs.com                            10.23.57.189                            ,c:\program files\microsoft office\office11\excel.exe,Name:SharePoint://home.bluejungle.com/sites/qa/QA%20Projects/Release%203.1/Test%20Plans%20for%20CE%203.1Release/New%20Features%20Test%20Plans-CE3.1/Sample%20Data%20Reporter%20r3.1.xls,Title:Requirements document,Resource Signature:http://home.bluejungle.com/sites/qa/QA%20Projects/Release%203.1/Test%20Plans%20for%20CE%203.1Release/New%20Features%20Test%20Plans-CE3.1/Sample%20Data%20Reporter%20r4.0.xls,Created by:qapf\john.tyler,Modified by:qapf\jimmy.carter,Date Created:11-05-2007,Date Modified:04-09-2008,Format:xls,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Department:Marketing,Obligation:Log SharePoint Control,Business Process: Marketing Launch
14,Print,7/14/2008,/CE/Department Policy4,Allow/Monitor,andrew.jackson@qapf.qalab01.nextlabs.com,3,SharePoint://home.bluejungle.com/sites/qa/QA%20Projects/Release%203.1/Test%20Plans%20for%20CE%203.1Release/New%20Features%20Test%20Plans-CE3.1/Sample%20Data%20Reporter%20r3.1.xls,,k3sesp2-b2.qapf.qalab01.nextlabs.com                            10.23.57.189                            ,c:\program files\microsoft office\office11\excel.exe,Name:SharePoint://home.bluejungle.com/sites/qa/QA%20Projects/Release%203.1/Test%20Plans%20for%20CE%203.1Release/New%20Features%20Test%20Plans-CE3.1/Sample%20Data%20Reporter%20r3.1.xls,Title:Requirements document,Resource Signature:http://home.bluejungle.com/sites/qa/QA%20Projects/Release%203.1/Test%20Plans%20for%20CE%203.1Release/New%20Features%20Test%20Plans-CE3.1/Sample%20Data%20Reporter%20r4.0.xls,Created by:qapf\john.tyler,Modified by:qapf\jimmy.carter,Date Created:11-05-2007,Date Modified:04-09-2008,Format:xls,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Department:Marketing,Obligation:Log SharePoint Control,Business Process: Marketing Launch
15,Export,2/14/2008,/CE/Department Policy4,Allow/Monitor,jimmy.carter@qapf.qalab01.nextlabs.com,3,SharePoint://home.bluejungle.com/sites/qa/QA%20Projects/Release%203.1/Test%20Plans%20for%20CE%203.1Release/New%20Features%20Test%20Plans-CE3.1/Sample%20Data%20Reporter%20r3.1.xls,SharePoint://home.bluejungle.com/sites/qa/QA%20Projects/Release%203.1/Test%20Plans%20for%20CE%203.1Release/New%20Features%20Test%20Plans-CE3.1/Sample%20Data%20Reporter%20r4.0.xls,k3sesp2-b2.qapf.qalab01.nextlabs.com                            10.23.57.189                            ,c:\program files\microsoft office\office11\excel.exe,Name:SharePoint://home.bluejungle.com/sites/qa/QA%20Projects/Release%203.1/Test%20Plans%20for%20CE%203.1Release/New%20Features%20Test%20Plans-CE3.1/Sample%20Data%20Reporter%20r3.1.xls,Title:Requirements document,Resource Signature:http://home.bluejungle.com/sites/qa/QA%20Projects/Release%203.1/Test%20Plans%20for%20CE%203.1Release/New%20Features%20Test%20Plans-CE3.1/Sample%20Data%20Reporter%20r4.0.xls,Created by:qapf\john.tyler,Modified by:qapf\jimmy.carter,Date Created:11-05-2007,Date Modified:04-09-2008,Format:xls,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Department:Marketing,Obligation:Log SharePoint Control,Business Process: Marketing Launch
16,Copy,2/14/2008,/CE/Department Policy4,Allow/Monitor,john.tyler@qapf.qalab01.nextlabs.com,3,SharePoint://home.bluejungle.com/sites/qa/QA%20Projects/Release%203.1/Test%20Plans%20for%20CE%203.1Release/New%20Features%20Test%20Plans-CE3.1/Sample%20Data%20Reporter%20r3.1.xls,SharePoint://home.bluejungle.com/sites/qa/QA%20Projects/Release%203.1/Test%20Plans%20for%20CE%203.1Release/New%20Features%20Test%20Plans-CE3.1/Sample%20Data%20Reporter%20r4.0.xls,k3sesp2-b2.qapf.qalab01.nextlabs.com                            10.23.57.189                            ,c:\program files\microsoft office\office11\excel.exe,Name:SharePoint://home.bluejungle.com/sites/qa/QA%20Projects/Release%203.1/Test%20Plans%20for%20CE%203.1Release/New%20Features%20Test%20Plans-CE3.1/Sample%20Data%20Reporter%20r3.1.xls,Title:Requirements document,Resource Signature:http://home.bluejungle.com/sites/qa/QA%20Projects/Release%203.1/Test%20Plans%20for%20CE%203.1Release/New%20Features%20Test%20Plans-CE3.1/Sample%20Data%20Reporter%20r4.0.xls,Created by:qapf\john.tyler,Modified by:qapf\jimmy.carter,Date Created:11-05-2007,Date Modified:04-09-2008,Format:xls,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Department:Marketing,Obligation:Log SharePoint Control,Business Process: Marketing Launch
17,Move,2/14/2008,/CE/Department Policy4,Allow/Monitor,abraham.lincoln@qapf.qalab01.nextlabs.com,3,SharePoint://home.bluejungle.com/sites/qa/QA%20Projects/Release%203.1/Test%20Plans%20for%20CE%203.1Release/New%20Features%20Test%20Plans-CE3.1/Sample%20Data%20Reporter%20r3.1.xls,SharePoint://home.bluejungle.com/sites/qa/QA%20Projects/Release%203.1/Test%20Plans%20for%20CE%203.1Release/New%20Features%20Test%20Plans-CE3.1/Sample%20Data%20Reporter%20r4.0.xls,k3sesp2-b2.qapf.qalab01.nextlabs.com                            10.23.57.189                            ,c:\program files\microsoft office\office11\excel.exe,Name:SharePoint://home.bluejungle.com/sites/qa/QA%20Projects/Release%203.1/Test%20Plans%20for%20CE%203.1Release/New%20Features%20Test%20Plans-CE3.1/Sample%20Data%20Reporter%20r3.1.xls,Title:Requirements document,Resource Signature:http://home.bluejungle.com/sites/qa/QA%20Projects/Release%203.1/Test%20Plans%20for%20CE%203.1Release/New%20Features%20Test%20Plans-CE3.1/Sample%20Data%20Reporter%20r4.0.xls,Created by:qapf\john.tyler,Modified by:qapf\jimmy.carter,Date Created:11-05-2007,Date Modified:04-09-2008,Format:xls,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Department:Marketing,Obligation:Log SharePoint Control,Business Process: Marketing Launch
18,Delete,9/18/2008,/CE/Department Policy4,Allow/Monitor,abraham.lincoln@qapf.qalab01.nextlabs.com,3,SharePoint://home.bluejungle.com/sites/qa/QA%20Projects/Release%203.1/Test%20Plans%20for%20CE%203.1Release/New%20Features%20Test%20Plans-CE3.1/Sample%20Data%20Reporter%20r3.1.xls,,k3sesp2-b2.qapf.qalab01.nextlabs.com                            10.23.57.189                            ,c:\program files\microsoft office\office11\excel.exe,Name:SharePoint://home.bluejungle.com/sites/qa/QA%20Projects/Release%203.1/Test%20Plans%20for%20CE%203.1Release/New%20Features%20Test%20Plans-CE3.1/Sample%20Data%20Reporter%20r3.1.xls,Title:Requirements document,Resource Signature:http://home.bluejungle.com/sites/qa/QA%20Projects/Release%203.1/Test%20Plans%20for%20CE%203.1Release/New%20Features%20Test%20Plans-CE3.1/Sample%20Data%20Reporter%20r4.0.xls,Created by:qapf\john.tyler,Modified by:qapf\jimmy.carter,Date Created:11-05-2007,Date Modified:04-09-2008,Format:xls,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Department:Marketing,Obligation:Log SharePoint Control,Business Process: Marketing Launch
Department3:Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Attach to Item,4/1/2006,/Cfolder3/CPolicy3,Deny,john.adams@qapf.qalab01.nextlabs.com,3,SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,,cch1.qapf.qalab01.nextlabs.com  10.23.57.200,c:\program files\microsoft office\office11\winword.doc,Name:SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,Title:Requirements for Policy Author,Resource Signature:SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,Created by:sharepoint2007\Administrator,Modified by:sharepoint2007\Administrator,Date Created:07-15-2007,Date Modified:02-15-2007,Format:doc,Keywords:PAPRD,Publisher:james garfield,Revision:2.1,Source:sourcedoc2,Status:Final,Subject:Policy Author,Version:V0.7,Custom:~,Obligation: Log SharePoint Control,Department:Finance,,
20,Open,5/1/2007,/Cfolder3/CPolicy3,Deny,chester.arthur@qapf.qalab01.nextlabs.com,3,SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,,cch1.qapf.qalab01.nextlabs.com  10.23.57.200,c:\program files\microsoft office\office11\winword.doc,Name:SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,Title:Requirements for Policy Author,Resource Signature:SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,Created by:sharepoint2007\Administrator,Modified by:sharepoint2007\Administrator,Date Created:07-15-2007,Date Modified:02-15-2007,Format:doc,Keywords:PAPRD,Publisher:james garfield,Revision:2.1,Source:sourcedoc2,Status:Final,Subject:Policy Author,Version:V0.7,Custom:~,Obligation: Log SharePoint Control,Department:Finance,,
21,Rename,6/1/2005,/Cfolder3/CPolicy3,Deny,gerald.ford@qapf.qalab01.nextlabs.com,3,SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,SharePoint://sharepoint2007:80/sharepoint2007/ReporterSite/Requirements library/copy of PA_prd.doc,cch1.qapf.qalab01.nextlabs.com  10.23.57.200,c:\program files\microsoft office\office11\winword.doc,Name:SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,Title:Requirements for Policy Author,Resource Signature:SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,Created by:sharepoint2007\Administrator,Modified by:sharepoint2007\Administrator,Date Created:07-15-2007,Date Modified:02-15-2007,Format:doc,Keywords:PAPRD,Publisher:james garfield,Revision:2.1,Source:sourcedoc2,Status:Final,Subject:Policy Author,Version:V0.7,Custom:~,Obligation: Log SharePoint Control,Department:Finance,,
22,Create/Edit,7/1/2006,/Cfolder3/CPolicy3,Deny,andrew.jackson@qapf.qalab01.nextlabs.com,3,SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,SharePoint://sharepoint2007:80/sharepoint2007/ReporterSite/Requirements library/copy of PA_prd.doc,cch1.qapf.qalab01.nextlabs.com  10.23.57.200,c:\program files\microsoft office\office11\winword.doc,Name:SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,Title:Requirements for Policy Author,Resource Signature:SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,Created by:sharepoint2007\Administrator,Modified by:sharepoint2007\Administrator,Date Created:07-15-2007,Date Modified:02-15-2007,Format:doc,Keywords:PAPRD,Publisher:james garfield,Revision:2.1,Source:sourcedoc2,Status:Final,Subject:Policy Author,Version:V0.7,Custom:~,Obligation: Log SharePoint Control,Department:Finance,,
23,Print,7/1/2006,/Cfolder3/CPolicy3,Deny,jimmy.carter@qapf.qalab01.nextlabs.com,3,SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,,cch1.qapf.qalab01.nextlabs.com  10.23.57.200,c:\program files\microsoft office\office11\winword.doc,Name:SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,Title:Requirements for Policy Author,Resource Signature:SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,Created by:sharepoint2007\Administrator,Modified by:sharepoint2007\Administrator,Date Created:07-15-2007,Date Modified:02-15-2007,Format:doc,Keywords:PAPRD,Publisher:james garfield,Revision:2.1,Source:sourcedoc2,Status:Final,Subject:Policy Author,Version:V0.7,Custom:~,Obligation: Log SharePoint Control,Department:Finance,,
24,Export,3/1/2008,/Cfolder3/CPolicy3,Deny,john.tyler@qapf.qalab01.nextlabs.com,3,SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,SharePoint://sharepoint2007:80/sharepoint2007/ReporterSite/Requirements library/copy of PA_prd.doc,cch1.qapf.qalab01.nextlabs.com  10.23.57.200,c:\program files\microsoft office\office11\winword.doc,Name:SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,Title:Requirements for Policy Author,Resource Signature:SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,Created by:sharepoint2007\Administrator,Modified by:sharepoint2007\Administrator,Date Created:07-15-2007,Date Modified:02-15-2007,Format:doc,Keywords:PAPRD,Publisher:james garfield,Revision:2.1,Source:sourcedoc2,Status:Final,Subject:Policy Author,Version:V0.7,Custom:~,Obligation: Log SharePoint Control,Department:Finance,,
25,Copy,8/1/2008,/Cfolder3/CPolicy3,Deny,abraham.lincoln@qapf.qalab01nextlabs.com,3,SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,SharePoint://sharepoint2007:80/sharepoint2007/ReporterSite/Requirements library/copy of PA_prd.doc,cch1.qapf.qalab01.nextlabs.com  10.23.57.200,c:\program files\microsoft office\office11\winword.doc,Name:SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,Title:Requirements for Policy Author,Resource Signature:SharePoint://sharepoint2007.test.bluejungle.com/ReporterSite/Requirements library/PA_prd.doc,Created by:sharepoint2007\Administrator,Modified by:sharepoint2007\Administrator,Date Created:07-15-2007,Date Modified:02-15-2007,Format:doc,Keywords:PAPRD,Publisher:james garfield,Revision:2.1,Source:sourcedoc2,Status:Final,Subject:Policy Author,Version:V0.7,Custom:~,Obligation: Log SharePoint Control,Department:Finance,,
